"rep"	"auc"	"tree_depth"	"maxdepth"	"dataset_name"	"IMPUTED"	"prop_NAs"
14	0.904271004993371	9	9	"Churn"	"Yes"	0.1
15	0.856469562885492	9	9	"Churn"	"Yes"	0.1
16	0.86555698600855	9	9	"Churn"	"Yes"	0.1
17	0.890404628234972	9	9	"Churn"	"Yes"	0.1
18	0.902474382643389	9	9	"Churn"	"Yes"	0.1
19	0.901111758109041	9	9	"Churn"	"Yes"	0.1
20	0.879776772247361	9	9	"Churn"	"Yes"	0.1
21	0.819425563804943	9	9	"Churn"	"Yes"	0.1
22	0.894608196339692	9	9	"Churn"	"Yes"	0.1
23	0.888131865271487	9	9	"Churn"	"Yes"	0.1
24	0.914485226625768	9	9	"Churn"	"Yes"	0.1
25	0.821862482866914	9	9	"Churn"	"Yes"	0.1
26	0.90551788636895	9	9	"Churn"	"Yes"	0.1
27	0.902877274705626	9	9	"Churn"	"Yes"	0.1
28	0.865278092129558	9	9	"Churn"	"Yes"	0.1
29	0.82444342135552	9	9	"Churn"	"Yes"	0.1
30	0.921626544577364	9	9	"Churn"	"Yes"	0.1
1	0.914556658514362	10	10	"Churn"	"Yes"	0.1
2	0.873278443113772	10	10	"Churn"	"Yes"	0.1
3	0.906201418577536	10	10	"Churn"	"Yes"	0.1
4	0.877563622754491	10	10	"Churn"	"Yes"	0.1
5	0.907294890901448	10	10	"Churn"	"Yes"	0.1
6	0.919723053892216	10	10	"Churn"	"Yes"	0.1
7	0.905046891093403	10	10	"Churn"	"Yes"	0.1
8	0.861725126311698	10	10	"Churn"	"Yes"	0.1
9	0.902042431322305	10	10	"Churn"	"Yes"	0.1
10	0.93837402390657	10	10	"Churn"	"Yes"	0.1
11	0.859422692843954	10	10	"Churn"	"Yes"	0.1
12	0.866329063297691	10	10	"Churn"	"Yes"	0.1
13	0.873238291098795	10	10	"Churn"	"Yes"	0.1
14	0.888338294959239	10	10	"Churn"	"Yes"	0.1
15	0.87753560638757	10	10	"Churn"	"Yes"	0.1
16	0.878711327345309	10	10	"Churn"	"Yes"	0.1
17	0.875053487376979	10	10	"Churn"	"Yes"	0.1
18	0.856796380090498	10	10	"Churn"	"Yes"	0.1
19	0.864099940007764	10	10	"Churn"	"Yes"	0.1
20	0.879689115344853	10	10	"Churn"	"Yes"	0.1
21	0.862359584023253	10	10	"Churn"	"Yes"	0.1
22	0.905389221556886	10	10	"Churn"	"Yes"	0.1
23	0.829587342142734	10	10	"Churn"	"Yes"	0.1
24	0.897040449789161	10	10	"Churn"	"Yes"	0.1
25	0.868439703951573	10	10	"Churn"	"Yes"	0.1
26	0.862830353672756	10	10	"Churn"	"Yes"	0.1
27	0.853577772288292	10	10	"Churn"	"Yes"	0.1
28	0.883364528387499	10	10	"Churn"	"Yes"	0.1
29	0.868687958567113	10	10	"Churn"	"Yes"	0.1
30	0.89625124750499	10	10	"Churn"	"Yes"	0.1
1	0.871669632095506	11	11	"Churn"	"Yes"	0.1
2	0.881007339015151	11	11	"Churn"	"Yes"	0.1
3	0.825312961936438	11	11	"Churn"	"Yes"	0.1
4	0.877587097514779	11	11	"Churn"	"Yes"	0.1
5	0.830094004065041	11	11	"Churn"	"Yes"	0.1
6	0.873127485843855	11	11	"Churn"	"Yes"	0.1
7	0.83915092305038	11	11	"Churn"	"Yes"	0.1
8	0.847456062619997	11	11	"Churn"	"Yes"	0.1
9	0.844753538311371	11	11	"Churn"	"Yes"	0.1
10	0.863994248938792	11	11	"Churn"	"Yes"	0.1
11	0.860279975034073	11	11	"Churn"	"Yes"	0.1
12	0.831250670065637	11	11	"Churn"	"Yes"	0.1
13	0.81929669910777	11	11	"Churn"	"Yes"	0.1
14	0.834420063511895	11	11	"Churn"	"Yes"	0.1
15	0.869155483939138	11	11	"Churn"	"Yes"	0.1
16	0.862067733212622	11	11	"Churn"	"Yes"	0.1
17	0.908754147812971	11	11	"Churn"	"Yes"	0.1
18	0.850415419287564	11	11	"Churn"	"Yes"	0.1
19	0.881946622979772	11	11	"Churn"	"Yes"	0.1
20	0.851185704160712	11	11	"Churn"	"Yes"	0.1
21	0.857664364839591	11	11	"Churn"	"Yes"	0.1
