"rep"	"auc"	"tree_depth"	"maxdepth"	"dataset_name"	"IMPUTED"	"prop_NAs"
21	0.936727917033219	14	14	"Churn"	"Yes"	0
22	0.901549456109284	14	14	"Churn"	"Yes"	0
23	0.930534856764365	14	14	"Churn"	"Yes"	0
24	0.909751669072537	14	14	"Churn"	"Yes"	0
25	0.913611101976389	14	14	"Churn"	"Yes"	0
26	0.882329091816367	14	14	"Churn"	"Yes"	0
27	0.918377588065471	14	14	"Churn"	"Yes"	0
28	0.916797799447384	14	14	"Churn"	"Yes"	0
29	0.916627450980392	14	14	"Churn"	"Yes"	0
30	0.890581658345069	14	14	"Churn"	"Yes"	0
1	0.90000264158918	14	15	"Churn"	"Yes"	0
2	0.886374332778511	15	15	"Churn"	"Yes"	0
3	0.905734520488619	15	15	"Churn"	"Yes"	0
4	0.909189702743506	15	15	"Churn"	"Yes"	0
5	0.921632698272043	15	15	"Churn"	"Yes"	0
6	0.896709823163622	15	15	"Churn"	"Yes"	0
7	0.858985249382999	15	15	"Churn"	"Yes"	0
8	0.923998070837892	15	15	"Churn"	"Yes"	0
9	0.914593603118193	15	15	"Churn"	"Yes"	0
10	0.837314956610516	15	15	"Churn"	"Yes"	0
11	0.908611480332792	15	15	"Churn"	"Yes"	0
12	0.921963445198362	15	15	"Churn"	"Yes"	0
13	0.898841694382853	15	15	"Churn"	"Yes"	0
14	0.911006227466404	15	15	"Churn"	"Yes"	0
15	0.924070782065135	15	15	"Churn"	"Yes"	0
16	0.911743710924039	15	15	"Churn"	"Yes"	0
17	0.957237158109981	15	15	"Churn"	"Yes"	0
18	0.917402269861286	15	15	"Churn"	"Yes"	0
19	0.885634402027845	15	15	"Churn"	"Yes"	0
20	0.928607723577236	14	15	"Churn"	"Yes"	0
21	0.90822322775264	15	15	"Churn"	"Yes"	0
22	0.938173652694611	14	15	"Churn"	"Yes"	0
23	0.898986049519586	15	15	"Churn"	"Yes"	0
24	0.898013803015847	15	15	"Churn"	"Yes"	0
25	0.892343032159265	15	15	"Churn"	"Yes"	0
26	0.892363735487628	15	15	"Churn"	"Yes"	0
27	0.886410100734757	15	15	"Churn"	"Yes"	0
28	0.914877828054299	15	15	"Churn"	"Yes"	0
29	0.846792411581811	15	15	"Churn"	"Yes"	0
30	0.911725508534019	15	15	"Churn"	"Yes"	0
1	0.897799376490006	16	16	"Churn"	"Yes"	0
2	0.907011431016566	16	16	"Churn"	"Yes"	0
3	0.868034724917952	16	16	"Churn"	"Yes"	0
4	0.931786294491213	16	16	"Churn"	"Yes"	0
5	0.91222819733458	16	16	"Churn"	"Yes"	0
6	0.896728954106003	16	16	"Churn"	"Yes"	0
7	0.873960283796349	15	16	"Churn"	"Yes"	0
8	0.923125971628449	16	16	"Churn"	"Yes"	0
9	0.903972745821998	16	16	"Churn"	"Yes"	0
10	0.887200896156689	16	16	"Churn"	"Yes"	0
11	0.906557052052486	16	16	"Churn"	"Yes"	0
12	0.907957437743169	16	16	"Churn"	"Yes"	0
13	0.896735375764656	16	16	"Churn"	"Yes"	0
14	0.909587680079483	15	16	"Churn"	"Yes"	0
15	0.904094668438931	16	16	"Churn"	"Yes"	0
16	0.898685243589232	16	16	"Churn"	"Yes"	0
17	0.911564905924493	15	16	"Churn"	"Yes"	0
18	0.934956075681168	16	16	"Churn"	"Yes"	0
19	0.920293800691963	15	16	"Churn"	"Yes"	0
20	0.90832853786026	16	16	"Churn"	"Yes"	0
21	0.922452774911791	16	16	"Churn"	"Yes"	0
22	0.874679964843899	16	16	"Churn"	"Yes"	0
23	0.891351568785197	16	16	"Churn"	"Yes"	0
24	0.899477701888309	15	16	"Churn"	"Yes"	0
25	0.867982336026291	16	16	"Churn"	"Yes"	0
26	0.892225859247136	16	16	"Churn"	"Yes"	0
27	0.921715198863636	16	16	"Churn"	"Yes"	0
28	0.897996983408748	16	16	"Churn"	"Yes"	0
