"rep"	"auc"	"tree_depth"	"maxdepth"	"dataset_name"	"prop_switch_y"
19	0.896833716511608	14	14	"Churn"	0
20	0.908096590909091	14	14	"Churn"	0
21	0.908415032679739	14	14	"Churn"	0
22	0.88168095811778	14	14	"Churn"	0
23	0.897394248981232	14	14	"Churn"	0
24	0.910280542986425	14	14	"Churn"	0
25	0.886570785984849	14	14	"Churn"	0
26	0.938226244343891	14	14	"Churn"	0
27	0.909688158003082	14	14	"Churn"	0
28	0.906074665515753	14	14	"Churn"	0
29	0.922287425881778	14	14	"Churn"	0
30	0.87331713944584	14	14	"Churn"	0
1	0.926845043572985	15	15	"Churn"	0
2	0.899523566445465	15	15	"Churn"	0
3	0.912331825037707	15	15	"Churn"	0
4	0.871105664488017	15	15	"Churn"	0
5	0.922767126490531	15	15	"Churn"	0
6	0.878070528291767	15	15	"Churn"	0
7	0.900569375979212	15	15	"Churn"	0
8	0.839907684630739	15	15	"Churn"	0
9	0.908998105018644	15	15	"Churn"	0
10	0.930363736632619	15	15	"Churn"	0
11	0.940806293018682	15	15	"Churn"	0
12	0.885717632359831	15	15	"Churn"	0
13	0.922025565388397	15	15	"Churn"	0
14	0.913791001097427	15	15	"Churn"	0
15	0.888870905864864	15	15	"Churn"	0
16	0.908125502815768	15	15	"Churn"	0
17	0.920198887412002	15	15	"Churn"	0
18	0.928867265469062	15	15	"Churn"	0
19	0.902939431283947	15	15	"Churn"	0
20	0.930906936127745	15	15	"Churn"	0
21	0.903095354258145	15	15	"Churn"	0
22	0.900254783975714	15	15	"Churn"	0
23	0.915139991181658	15	15	"Churn"	0
24	0.904672834540091	15	15	"Churn"	0
25	0.894921459655584	14	15	"Churn"	0
26	0.911470170454545	15	15	"Churn"	0
27	0.901653037896773	15	15	"Churn"	0
28	0.926979509233494	15	15	"Churn"	0
29	0.915896962233169	15	15	"Churn"	0
30	0.884640269151139	15	15	"Churn"	0
1	0.911187748421791	15	16	"Churn"	0
2	0.888911010558069	16	16	"Churn"	0
3	0.904439275340915	15	16	"Churn"	0
4	0.860115938701716	16	16	"Churn"	0
5	0.926401179941003	16	16	"Churn"	0
6	0.921519758210033	16	16	"Churn"	0
7	0.898186180301717	16	16	"Churn"	0
8	0.912837387110016	16	16	"Churn"	0
9	0.917925824175824	16	16	"Churn"	0
10	0.866039299242424	15	16	"Churn"	0
11	0.906342062193126	16	16	"Churn"	0
12	0.914137564671101	16	16	"Churn"	0
13	0.907167376893939	16	16	"Churn"	0
14	0.90926923713809	15	16	"Churn"	0
15	0.906986027944112	16	16	"Churn"	0
16	0.915485278080698	15	16	"Churn"	0
17	0.86609384271304	16	16	"Churn"	0
18	0.924260898066208	16	16	"Churn"	0
19	0.918710615030912	16	16	"Churn"	0
20	0.880197322057787	16	16	"Churn"	0
21	0.890144927536232	15	16	"Churn"	0
22	0.904257071102145	16	16	"Churn"	0
23	0.895643939393939	15	16	"Churn"	0
24	0.892412906242693	16	16	"Churn"	0
25	0.909927536231884	16	16	"Churn"	0
26	0.941099983400653	16	16	"Churn"	0
27	0.920013448254783	16	16	"Churn"	0
28	0.917312804607887	16	16	"Churn"	0
29	0.903511042097999	15	16	"Churn"	0
30	0.916709275647329	15	16	"Churn"	0
1	0.938968925641191	17	17	"Churn"	0
2	0.901434700992223	16	17	"Churn"	0
3	0.900583266524917	17	17	"Churn"	0
4	0.892814479638009	17	17	"Churn"	0
5	0.906325759003153	16	17	"Churn"	0
6	0.89759424705285	16	17	"Churn"	0
7	0.910196222262974	15	17	"Churn"	0
8	0.890861061664156	17	17	"Churn"	0
9	0.900817628159018	16	17	"Churn"	0
10	0.896356353769623	17	17	"Churn"	0
11	0.874182519923285	17	17	"Churn"	0
12	0.934194715420893	15	17	"Churn"	0
13	0.916045601497363	15	17	"Churn"	0
14	0.879715568862275	17	17	"Churn"	0
15	0.857868114015655	17	17	"Churn"	0
16	0.883094724958949	17	17	"Churn"	0
17	0.951200432885156	15	17	"Churn"	0
18	0.902741156839518	15	17	"Churn"	0
